Author,Date,Tweet
BrokerageRecos,Wed May 03 06:05:11 +0000 2017,Hold TVS Motors; target of Rs 532: Arihant Capital https://t.co/KIOwJEVa0R #stocks #tip #India
ETDefence,Wed May 03 05:53:17 +0000 2017,"Soldiers' #beheading 'dastardly and inhuman act': #India to #Pakistan 
https://t.co/5ZcTbF4vEE"
abdulsami,Wed May 03 09:40:08 +0000 2017,"Soldiers' mutilation inhuman act, invites unequivocal response: India's DGMO to Pak https://t.co/fD4Lh5V6gn #India #Pakistan"
abdulsami,Wed May 03 09:40:09 +0000 2017,"Pakistani, Indian military officials speak over hotline https://t.co/OJH25q91Pb #India #Pakistan"
bollywoodnews98,Wed May 03 09:39:17 +0000 2017,"#india AAP 'pacifies' Kumar Vishwas, suspends MLA Amanatullah from party https://t.co/wDO1jQVcwM https://t.co/3TuhdFtsVT"
TheCookBookOM,Wed May 03 09:39:55 +0000 2017,#Mango #Curry w/ #Jalapenos &amp; #WhiteBeans https://t.co/hR6sN9u3MK #localfood #farmersmarket #food #realfood #sxsw #india
hasan44mahmod,Wed May 03 06:05:01 +0000 2017,"RT @aliakbar1346ta: Iran big winner from region’s turmoil: Arab league head
https://t.co/YGxaferJiO
#usa #texas #india https://t.co/FICQ81R…"
VizagPrabhasFan,Wed May 03 05:52:14 +0000 2017,"RT @rameshlaus: (ESTIMATES) #Baahubali2 5 Days WW BO:

#India 

Nett - ₹ 440 Crs

Gross - ₹ 565 Crs

Overseas - ₹ 145 Crs

Total -… "
rebel_adithya,Wed May 03 05:53:23 +0000 2017,"RT @rameshlaus: (ESTIMATES) #Baahubali2 5 Days WW BO:

#India 

Nett - ₹ 440 Crs

Gross - ₹ 565 Crs

Overseas - ₹ 145 Crs

Total -… "
NEWSFROMASIA,Wed May 03 05:52:38 +0000 2017,The latest The NEWS FROM ASIA Daily! https://t.co/pK1noXuoEY Thanks to @KeHaber @mustikhan @sharpfang #jakpost #india
sportseur,Wed May 03 09:40:26 +0000 2017,"RT @VijayGoelBJP: Great interacting w/ Amb. Hommadovich on issues of #sports,#culture &amp; cooperation in #youth development b/w #India… "
kamleshrv1,Wed May 03 09:40:26 +0000 2017,"#India press conference on #butcherArmy #Pakistan real face. 
#WorldPressFreedomDay watch it https://t.co/OFM62qM9gr https://t.co/G0J8qwhq5U"
City_Sostenible,Wed May 03 09:41:16 +0000 2017,Mi #reportaje audiovisual sobre #RABIA en #India para el especial sobre #EnfermedadesOlvidadas de Planeta_Futuro https://t.co/vPgx5z1ZgL  …
trendinaliaIN,Wed May 03 09:39:38 +0000 2017,RT @airnewsalerts: #India and #Japan enter the tunnel on level terms.The 2nd half in #INDvJPN is underway. https://t.co/Lw74N7NZiN
MarketEdgeIndia,Wed May 03 09:42:06 +0000 2017,See 9400-9600 on Nifty in short-term says Sandeep Shah of Motilal Oswal https://t.co/OQPbDTBvyj #india #bse #nse
iammajidzz,Wed May 03 09:42:03 +0000 2017,"Gurudongmar Lake, Sikkim, India 
#india #TravelTheWorld #travel #photography #travelphotography #travels #roadlife… https://t.co/qr9Dk9lyDj"
BlissfulTrails,Wed May 03 05:53:02 +0000 2017,Aarming! #Salt Consumption in #India Exceeds by Over 100% https://t.co/b2Y9Vki3kn https://t.co/DXNU3xfGMJ
anandsastry,Wed May 03 05:52:49 +0000 2017,#startup #startupindia #india #America #entrepeneur #businessintelligence - This is #Japan embracing #bitcoin offic… https://t.co/MMexxlOZld
EconomicTimes,Wed May 03 05:53:24 +0000 2017,"RT @ETDefence: Soldiers' #beheading 'dastardly and inhuman act': #India to #Pakistan 
https://t.co/5ZcTbF4vEE"
